Exact Field,Exact Type,Category,Odoo Field,Odoo Type,Odoo Model,Related Model,Notes
ReceiptStatus,Edm.Int32,Custom,x_aa_receipt_status,integer,purchase.order,,"Receipt status (10=Open, 20=Partial, 30=Complete, 40=Canceled). No single Odoo equivalent — Odoo computes receipt status from stock.picking. Stored for reference."
InvoiceStatus,Edm.Int32,Custom,x_aa_invoice_status,integer,purchase.order,,"Invoice status (10=Open, 20=Partial, 30=Complete, 40=Canceled). Odoo computes invoice_status dynamically from bill lines. Stored for reference."
ApprovalStatus,Edm.Int16,Custom,x_aa_approval_status,integer,purchase.order,,"Approval status (0=Awaiting, 1=Auto, 2=Approved). Odoo has optional purchase approval workflow but status is embedded in state. Custom field."
SalesOrder,Edm.Guid,Custom,x_aa_sales_order_id,char,purchase.order,,Back-to-back SO reference. Stored as char (GUID) for traceability. Cross-linking to sale.order can be done post-migration if SO domain is mapped.
Document,Edm.Guid,Custom,x_aa_document_id,char,purchase.order,,Manually linked document GUID. No Odoo equivalent. Stored for reference.
SelectionCode,Edm.Guid,Custom,x_aa_selection_code_id,char,purchase.order,,Selection code (Exact Premium feature). No Odoo equivalent. Stored as char for reference.
ShippingMethod,Edm.Guid,Custom,x_aa_shipping_method_id,char,purchase.order,,Shipping method. Odoo has delivery carriers (delivery.carrier) but the mapping is not straightforward without a carrier mapping. Store GUID for reference.
AmountDC,Edm.Double,Skip,—,—,—,—,Total in company currency. Odoo computes amount_total_cc from lines. Skip — computed field.
AmountFC,Edm.Double,Skip,—,—,—,—,Total in transaction currency. Odoo computes amount_total from lines. Skip.
AmountFCExclVat,Edm.Double,Skip,—,—,—,—,Untaxed total. Odoo computes amount_untaxed from lines. Skip.
AmountDiscount,Edm.Double,Skip,—,—,—,—,Discount amount in company currency. Computed from line discounts in Odoo. Skip.
AmountDiscountExclVat,Edm.Double,Skip,—,—,—,—,Discount amount excl VAT. Computed. Skip.
VATAmount,Edm.Double,Skip,—,—,—,—,VAT total. Odoo computes amount_tax from lines. Skip.
Discount,Edm.Double,Skip,—,—,—,—,Header-level discount percentage. Actual discounts applied at line level in both Exact and Odoo. Skip.
DeliveryAddress,Edm.Guid,Skip,—,—,—,—,Exact stores address as separate GUID. Odoo resolves address from the partner record on dest_address_id. Skip.
CreatorFullName,Edm.String,Skip,—,—,—,—,Denormalized display field for Creator.
ModifierFullName,Edm.String,Skip,—,—,—,—,Denormalized display field for Modifier.
ApproverFullName,Edm.String,Skip,—,—,—,—,Denormalized display field for Approver.
Approver,Edm.Guid,Skip,—,—,—,—,Approval user. Skip — approval workflow state captured in x_aa_approval_status. Odoo manages its own approval users.
PurchaseAgentFullName,Edm.String,Skip,—,—,—,—,Denormalized display field for PurchaseAgent.
SupplierCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of supplier code. Derivable from partner_id.
SupplierName,Edm.String,Skip,—,—,—,—,Denormalized display copy of supplier name. Derivable from partner_id.
SupplierContactPersonFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of supplier contact name.
DeliveryAccountCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of delivery account code.
DeliveryAccountName,Edm.String,Skip,—,—,—,—,Denormalized display copy of delivery account name.
DeliveryContactPersonFullName,Edm.String,Skip,—,—,—,—,Denormalized display copy of delivery contact name.
PaymentConditionDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of payment condition.
DocumentSubject,Edm.String,Skip,—,—,—,—,Denormalized display copy of document subject.
SelectionCodeCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of selection code.
SelectionCodeDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of selection code description.
ShippingMethodCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of shipping method code.
ShippingMethodDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of shipping method description.
WarehouseCode,Edm.String,Skip,—,—,—,—,Denormalized display copy of warehouse code.
WarehouseDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of warehouse description.
PurchaseOrderLineCount,Edm.Int32,Skip,—,—,—,—,Computed count. Odoo derives from order_line.
PurchaseOrderLines,PurchaseOrderLines,Skip,—,—,—,—,Embedded collection — mapped separately in PurchaseOrderLines sheet.
SalesOrderNumber,Edm.Int32,Skip,—,—,—,—,Denormalized display copy of linked SO number. GUID stored in x_aa_sales_order_id.
ApprovalStatusDescription,Edm.String,Skip,—,—,—,—,Denormalized display copy of ApprovalStatus.
—,—,Derived,state,selection,purchase.order,,"Derive from OrderStatus: 10(Open)→'purchase', 30(Complete)→'done', 40(Canceled)→'cancel'. Draft POs (if any) may need ApprovalStatus check."
—,—,Derived,name,char,purchase.order,,"Auto-generated by Odoo sequence (e.g., PO00001). Let Odoo assign on create. Original Exact number preserved in x_aa_order_number."
